Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66d21e2426f719f8eaa29701,637e1c1af194c6e63e8ff286,APPROVED,Not Applicable,2024-08-30T19:32:47.576000Z,2024-08-30T19:37:33.834000Z,2024-09-03T15:23:39.165000Z,2024-08-30T19:37:34.734059Z,287.0,6B57058C,1518,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66d21e25e53a85710ae6d3c8,63cf9471d0cf4c4c8ebd9ee7,APPROVED,Not Applicable,2024-08-30T19:31:58.308000Z,2024-08-30T19:47:15.716000Z,2024-09-03T15:23:39.589000Z,2024-08-30T19:47:17.141103Z,918.0,6B57058C,1543,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66d21e27ef05fb2fbb75147b,66492b46ca139ec22508f92e,APPROVED,Not Applicable,2024-08-30T19:31:57.159000Z,2024-08-30T19:38:31.759000Z,2024-09-03T15:23:39.872000Z,2024-08-30T19:38:32.892006Z,395.0,6B57058C,130,35,Male,White,United States,United States,United States,English,No,Part-Time
66d21e28680fae22a887f8a2,55f1d57632af74001217014d,APPROVED,Not Applicable,2024-08-30T19:37:06.388000Z,2024-08-30T19:48:19.687000Z,2024-09-03T15:24:09.365000Z,2024-08-30T19:48:21.349843Z,674.0,6B57058C,1068,29,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66d21e28ba25fdc79caaa707,667085cc6ecfc9326ff6de72,APPROVED,Not Applicable,2024-08-30T19:32:01.852000Z,2024-08-30T19:41:43.362000Z,2024-09-03T15:23:40.171000Z,2024-08-30T19:41:46.045783Z,582.0,6B57058C,293,32,Male,White,United States,United States,United States,English,No,Full-Time
66d21e290eb28bcdf570fc16,59b5a275c05bb50001eb3c4b,APPROVED,Not Applicable,2024-08-30T19:32:00.518000Z,2024-08-30T19:40:28.272000Z,2024-09-03T15:23:40.851000Z,2024-08-30T19:40:34.618664Z,508.0,6B57058C,799,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66d21e29a5d57a13c063cd21,665a2c1ceb0ce5fb9258aac4,APPROVED,Not Applicable,2024-08-30T19:32:26.089000Z,2024-08-30T19:39:23.345000Z,2024-09-03T15:23:41.213000Z,2024-08-30T19:39:38.486598Z,418.0,6B57058C,238,21,Male,Asian,United States,United States,United States,English,Yes,Full-Time
66d21e2a360ab94fce6cd7c3,6413603a62c72120012e05be,APPROVED,Not Applicable,2024-08-30T19:31:54.745000Z,2024-08-30T19:38:13.553000Z,2024-09-03T15:23:41.501000Z,2024-08-30T19:38:14.203709Z,379.0,6B57058C,1281,20,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
66d21e2b2b54272106889c9a,6644b345ea3ed66a6ef99c4c,APPROVED,Not Applicable,2024-08-30T19:32:02.147000Z,2024-08-30T19:35:35.126000Z,2024-09-03T15:24:09.643000Z,2024-08-30T19:35:35.811688Z,213.0,6B57058C,390,35,Female,White,United States,United States,United States,English,No,Full-Time
66d21e2baf222bc4269e4194,5e1510a1c76aa6b119558fd6,APPROVED,Not Applicable,2024-08-30T19:31:59.552000Z,2024-08-30T19:36:28.747000Z,2024-09-03T15:23:41.777000Z,2024-08-30T19:36:29.528820Z,270.0,6B57058C,6692,34,Male,White,United States,United States,United States,English,No,Full-Time
66d21e2c9d2470b5108ce3ba,5f2b3239b986da551f26bec7,APPROVED,Not Applicable,2024-08-30T19:32:01.656000Z,2024-08-30T19:36:28.565000Z,2024-09-03T15:23:42.060000Z,2024-08-30T19:36:29.460284Z,267.0,6B57058C,1091,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66d21e2d78d4122d7dbf55b9,5806ceacf0740c00017892c8,APPROVED,Not Applicable,2024-08-30T19:32:05.659000Z,2024-08-30T19:40:16.952000Z,2024-09-03T15:24:09.929000Z,2024-08-30T19:40:25.908649Z,492.0,6B57058C,6611,72,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66d21e2d884b5ca2e92d8b6c,5ae3895432c74a0001e78f45,APPROVED,Not Applicable,2024-08-30T19:32:19.894000Z,2024-08-30T19:36:26.258000Z,2024-09-03T15:23:42.337000Z,2024-08-30T19:36:26.964204Z,247.0,6B57058C,508,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
66d21e2e5d97631ff3ed91b9,666599fbc853fbc0b4ac4bc0,APPROVED,Not Applicable,2024-08-30T19:32:16.341000Z,2024-08-30T19:36:54.353000Z,2024-09-03T15:23:42.631000Z,2024-08-30T19:36:54.997923Z,279.0,NOCODE,108,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
