Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66d205450fc4fc09fb825f30,6278038e3c9ead31c9a91a09,APPROVED,Not Applicable,2024-08-30T17:45:51.399000Z,2024-08-30T17:50:49.501000Z,2024-08-30T19:42:20.509000Z,2024-08-30T17:50:50.232090Z,299.0,6B57058C,5562,39,Female,White,United States,United States,United States,English,No,Full-Time
66d205488360ef74c9a6fa5d,5bf37a8017a7de0001cf7cb1,APPROVED,Not Applicable,2024-08-30T17:45:51.455000Z,2024-08-30T17:52:06.009000Z,2024-08-30T19:41:42.806000Z,2024-08-30T17:52:06.723763Z,375.0,6B57058C,5327,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66d20548e30b7df1bf707ae4,63d7ec164d40c184be89bf34,APPROVED,Not Applicable,2024-08-30T17:50:01.240000Z,2024-08-30T18:03:20.515000Z,2024-08-30T19:42:20.940000Z,2024-08-30T18:03:27.197864Z,800.0,6B57058C,2409,33,Female,White,United States,United States,United States,English,DATA_EXPIRED,Due to start a new job within the next month
66d205498e44f8046024f4af,669da534f660ea8da55027b2,APPROVED,Not Applicable,2024-08-30T17:45:53.689000Z,2024-08-30T17:57:36.387000Z,2024-08-30T19:42:21.361000Z,2024-08-30T17:57:42.367947Z,703.0,6B57058C,78,68,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66d2054c21f8ed8a3c198101,63d1458687bb808c5929e352,APPROVED,Not Applicable,2024-08-30T17:45:53.823000Z,2024-08-30T17:48:27.157000Z,2024-08-30T19:41:43.207000Z,2024-08-30T17:48:32.543593Z,154.0,6B57058C,3597,27,Male,Asian,United States,United States,United States,English,No,Full-Time
66d2054df7c6746d8edc45df,628eada3a9c9e0776884f27d,APPROVED,Not Applicable,2024-08-30T17:45:49.053000Z,2024-08-30T17:51:36.158000Z,2024-08-30T19:41:43.610000Z,2024-08-30T17:51:36.825017Z,348.0,6B57058C,5308,31,Male,Mixed,United States,United States,United States,English,No,Full-Time
66d2055302344e7acdaaa35c,66ab9280123ea5f0635d4785,APPROVED,Not Applicable,2024-08-30T17:46:01.623000Z,2024-08-30T17:50:05.304000Z,2024-08-30T19:42:21.782000Z,2024-08-30T17:50:06.461525Z,244.0,6B57058C,207,50,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66d2055877ac5c0fbefdec93,6648a6c3e5a0dcc0647abd81,APPROVED,Not Applicable,2024-08-30T17:47:56.617000Z,2024-08-30T17:54:10.511000Z,2024-08-30T19:42:22.218000Z,2024-08-30T17:54:33.393310Z,374.0,6B57058C,742,37,Female,Black,United States,United States,United States,English,No,Full-Time
66d2055b2c1c7ac59eea730f,58713c5e58ca4c00018ce3ea,APPROVED,Not Applicable,2024-08-30T17:46:09.952000Z,2024-08-30T17:51:03.354000Z,2024-08-30T19:42:22.635000Z,2024-08-30T17:51:03.976122Z,294.0,6B57058C,4042,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
66d2055d4e057d107963f9b2,5fcd709227fabfc6ca7a969e,APPROVED,Not Applicable,2024-08-30T17:46:42.352000Z,2024-08-30T17:49:53.688000Z,2024-08-30T19:42:23.083000Z,2024-08-30T17:49:54.380823Z,192.0,6B57058C,1928,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66d2056a7f24a82aa93177e5,644b8b2b8ab902554e307f27,APPROVED,Not Applicable,2024-08-30T17:46:23.702000Z,2024-08-30T17:50:19.993000Z,2024-08-30T19:41:44.422000Z,2024-08-30T17:50:20.797497Z,237.0,6B57058C,1001,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66d2057071ce9bb207a18c06,56a8bb427f2472000b9522f6,APPROVED,Not Applicable,2024-08-30T17:46:32.470000Z,2024-08-30T17:51:36.999000Z,2024-08-30T19:42:23.382000Z,2024-08-30T17:51:38.189844Z,305.0,6B57058C,2528,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
66d20570c87d18fece878a6c,57b4a771cda70d0001534835,APPROVED,Not Applicable,2024-08-30T17:47:14.153000Z,2024-08-30T17:51:05.537000Z,2024-08-30T19:42:23.655000Z,2024-08-30T17:51:06.238279Z,232.0,6B57058C,3611,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
66d20571d557307e4a12f2ce,57308d1530a5560010ecbc1a,APPROVED,Not Applicable,2024-08-30T17:46:31.269000Z,2024-08-30T17:51:24.353000Z,2024-08-30T19:42:24.385000Z,2024-08-30T17:51:25.210795Z,294.0,6B57058C,2014,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66d20572a61ee6a37a9e3ebb,6584461360db3318b8baee08,APPROVED,Not Applicable,2024-08-30T17:46:31.505000Z,2024-08-30T17:53:21.571000Z,2024-08-30T19:42:25.035000Z,2024-08-30T17:53:22.804269Z,411.0,6B57058C,1395,58,Female,White,United States,United States,United States,English,No,Full-Time
66d2057386c28b718326b88a,667d97ece040723f822fe223,APPROVED,Not Applicable,2024-08-30T17:46:31.384000Z,2024-08-30T17:52:51.868000Z,2024-08-30T19:42:25.600000Z,2024-08-30T17:52:53.140433Z,381.0,6B57058C,438,35,Female,White,United States,United States,United States,English,No,Full-Time
66d2057454e8a195ad475498,66a7fe579f334f72a2b3e59c,APPROVED,Not Applicable,2024-08-30T17:46:38.180000Z,2024-08-30T17:53:39.381000Z,2024-08-30T19:42:26.016000Z,2024-08-30T17:53:46.422361Z,422.0,6B57058C,134,31,Female,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
66d20574a2e8d6fd46ba9196,5fbfffc4e214a60ab1b745fd,APPROVED,Not Applicable,2024-08-30T17:46:34.984000Z,2024-08-30T17:49:53.156000Z,2024-08-30T19:42:26.393000Z,2024-08-30T17:49:54.386093Z,199.0,6B57058C,1626,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66d205769f9db4a17ddbe90a,55c82012fdf99b02adc2a36e,APPROVED,Not Applicable,2024-08-30T17:46:36.560000Z,2024-08-30T17:53:14.078000Z,2024-08-30T19:42:26.716000Z,2024-08-30T17:53:15.312190Z,398.0,6B57058C,1362,40,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66d20576e79e976ece4ad2d4,5a8f01d95292b80001235d34,APPROVED,Not Applicable,2024-08-30T17:46:39.073000Z,2024-08-30T17:52:53.919000Z,2024-08-30T19:42:27.063000Z,2024-08-30T17:52:54.648962Z,375.0,6B57058C,880,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66d205772185b46d0d27541b,5efb49177e130c0785b93842,APPROVED,Not Applicable,2024-08-30T17:46:31.507000Z,2024-08-30T17:54:26.652000Z,2024-08-30T19:42:27.394000Z,2024-08-30T17:55:23.872023Z,476.0,6B57058C,1038,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
66d20577e36a4a36f4e0e46a,62a1e0fa590f6a0427492e41,APPROVED,Not Applicable,2024-08-30T17:46:35.879000Z,2024-08-30T17:51:43.180000Z,2024-08-30T19:41:44.871000Z,2024-08-30T17:51:44.096402Z,308.0,6B57058C,4744,46,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66d2057877d476345389a2d8,5b8588fdec7fa30001d6103b,APPROVED,Not Applicable,2024-08-30T17:46:38.908000Z,2024-08-30T17:51:24.736000Z,2024-08-30T19:41:45.330000Z,2024-08-30T17:51:25.544800Z,286.0,6B57058C,5616,35,Male,White,United States,United States,United States,English,Yes,Full-Time
66d20578db3fdb9df934bd4d,665629a30c7e3f40e8f3d1d5,APPROVED,Not Applicable,2024-08-30T17:48:18.675000Z,2024-08-30T17:56:53.134000Z,2024-08-30T19:42:27.810000Z,2024-08-30T17:57:26.229755Z,515.0,6B57058C,427,31,Female,White,United States,United States,Czech Republic,English,No,Unemployed (and job seeking)
66d2057904dfa6cfdd9189ad,66bfe5ecc23f1e2109f144d6,APPROVED,Not Applicable,2024-08-30T17:47:18.951000Z,2024-08-30T17:51:27.323000Z,2024-08-30T19:41:45.687000Z,2024-08-30T17:51:28.378530Z,249.0,6B57058C,86,27,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,Full-Time
66d20579b9555f1d5bf46ce3,6172ba772342dcc9343a29db,APPROVED,Not Applicable,2024-08-30T17:46:53.476000Z,2024-08-30T18:02:39.105000Z,2024-08-30T19:42:28.235000Z,2024-08-30T18:03:17.829025Z,946.0,6B57058C,1257,36,Female,White,United States,United States,United States,English,No,Full-Time
66d2057a6d0504e1a1537792,665b1c70895ff62a86e1483e,APPROVED,Not Applicable,2024-08-30T17:46:42.100000Z,2024-08-30T17:53:28.934000Z,2024-08-30T19:42:28.664000Z,2024-08-30T17:53:29.983654Z,407.0,6B57058C,205,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
