Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66d72fecf95cb445f6f5fa7f,5a3e5d407a3e3a0001dd3f7c,APPROVED,Not Applicable,2024-09-03T15:49:13.778000Z,2024-09-03T15:59:48.607000Z,2024-09-03T19:18:47.347000Z,2024-09-03T15:59:49.170503Z,635.0,6B57058C,650,65,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66d72ff0640532fddabfa3be,596bac33670f410001fe9c07,APPROVED,Not Applicable,2024-09-03T15:49:14.810000Z,2024-09-03T15:53:34.894000Z,2024-09-03T19:18:47.869000Z,2024-09-03T15:55:40.732485Z,261.0,6B57058C,4425,31,Female,White,United States,United States,United States,English,No,Part-Time
66d72ff18eea4a51916dbbd8,5b26da1934ffd00001b45d8d,APPROVED,Not Applicable,2024-09-03T15:49:19.477000Z,2024-09-03T16:02:44.434000Z,2024-09-03T19:18:48.273000Z,2024-09-03T16:02:45.274293Z,805.0,6B57058C,5824,40,Male,White,United States,United States,United States,English,No,Full-Time
66d72ff3abfced6dceca8fbf,5c321ebf6558270001bd79aa,APPROVED,Not Applicable,2024-09-03T15:49:07.384000Z,2024-09-03T15:54:31.076000Z,2024-09-03T19:18:48.708000Z,2024-09-03T15:55:57.751827Z,324.0,6B57058C,2550,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66d72ff47664f62a9a5935b3,56875435369319000c26947d,APPROVED,Not Applicable,2024-09-03T15:49:15.800000Z,2024-09-03T15:58:16.284000Z,2024-09-03T19:18:50.185000Z,2024-09-03T15:58:59.062521Z,541.0,6B57058C,8136,37,Male,White,United States,United States,United States,English,No,Full-Time
66d72ff6bea0fcbcccf5b725,568a3ac1d3d6a7000ba240b0,APPROVED,Not Applicable,2024-09-03T15:49:16.748000Z,2024-09-03T15:56:15.129000Z,2024-09-03T19:18:50.620000Z,2024-09-03T15:56:47.240548Z,419.0,6B57058C,2316,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66d72ff7662decd76e4a44dd,5f77de0539236537607ecd00,APPROVED,Not Applicable,2024-09-03T15:49:19.832000Z,2024-09-03T15:58:34.138000Z,2024-09-03T19:18:50.928000Z,2024-09-03T15:59:04.420648Z,555.0,6B57058C,551,26,Female,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66d72ff9a385ba77c40f6f49,5ac4b010f69e940001d97645,APPROVED,Not Applicable,2024-09-03T15:49:13.036000Z,2024-09-03T15:55:40.624000Z,2024-09-03T19:18:51.259000Z,2024-09-03T15:56:29.547291Z,388.0,6B57058C,2516,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
66d72ffa364cf520be665458,5ccdf9d67af8740018e17017,APPROVED,Not Applicable,2024-09-03T15:49:20.266000Z,2024-09-03T15:52:38.368000Z,2024-09-03T19:18:51.682000Z,2024-09-03T15:55:20.415737Z,199.0,6B57058C,605,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
66d72ffa6b210daa2a284989,5d01006f8a840b00195c2159,APPROVED,Not Applicable,2024-09-03T15:51:00.548000Z,2024-09-03T15:55:15.721000Z,2024-09-03T19:18:51.959000Z,2024-09-03T15:56:17.366312Z,256.0,6B57058C,1095,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
