Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66b401a3ab1e16e7cd7383bc,6313bb3b3d3981dc7402a033,APPROVED,Not Applicable,2024-08-07T23:22:18.346000Z,2024-08-07T23:27:01.841000Z,2024-08-09T13:20:57.724000Z,2024-08-07T23:27:02.362961Z,284.0,6B57058C,854,25,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66b401a4416a95dcd4d33f1f,604954e0c32f8060c52eee57,APPROVED,Not Applicable,2024-08-07T23:23:10.168000Z,2024-08-07T23:26:38.932000Z,2024-08-09T13:20:58.347000Z,2024-08-07T23:26:39.572154Z,209.0,6B57058C,642,29,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66b401a526b7c002686840f7,55bd6a44fdf99b4c1b12562d,APPROVED,Not Applicable,2024-08-07T23:22:13.182000Z,2024-08-07T23:27:10.641000Z,2024-08-09T13:20:58.887000Z,2024-08-07T23:27:12.554806Z,298.0,6B57058C,730,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66b401a66dfaeaed62184361,5e729b518c8f271f022e0dda,APPROVED,Not Applicable,2024-08-07T23:22:26.080000Z,2024-08-07T23:27:44.830000Z,2024-08-09T13:20:59.245000Z,2024-08-07T23:27:46.901862Z,319.0,6B57058C,635,30,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
66b401a6b38cc3945bded7b3,5fa562e3b58abe00096ee2d4,APPROVED,Not Applicable,2024-08-07T23:22:32.915000Z,2024-08-07T23:25:40.417000Z,2024-08-09T13:20:59.843000Z,2024-08-07T23:25:41.137688Z,188.0,6B57058C,349,30,Female,White,United States,United States,United States,English,Yes,Full-Time
66b401a6dd560477a9b0c607,5dc018fc2e1bfa4504eb4ce5,APPROVED,Not Applicable,2024-08-07T23:22:23.811000Z,2024-08-07T23:28:40.081000Z,2024-08-09T13:21:07.674000Z,2024-08-07T23:30:49.665004Z,377.0,6B57058C,556,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
66b401a6f4d38453ef394b44,55cc7cfb74297e0005235c27,APPROVED,Not Applicable,2024-08-07T23:22:19.164000Z,2024-08-07T23:27:28.079000Z,2024-08-09T13:21:00.319000Z,2024-08-07T23:27:28.758173Z,309.0,6B57058C,3032,34,Female,White,United States,United States,United States,English,No,Full-Time
66b401a855e351e35327f4f8,6276d97e209059496d37bf74,APPROVED,Not Applicable,2024-08-07T23:23:02.496000Z,2024-08-07T23:30:07.003000Z,2024-08-09T13:21:00.694000Z,2024-08-07T23:31:01.200571Z,425.0,6B57058C,4887,57,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66b401a8be016eada606c521,5c1c2c51e2d9150001b5737e,APPROVED,Not Applicable,2024-08-07T23:22:22.599000Z,2024-08-07T23:30:03.085000Z,2024-08-09T13:21:01.209000Z,2024-08-07T23:30:59.428345Z,461.0,6B57058C,5685,43,Female,White,United States,United States,United States,English,No,Full-Time
66b401a9511cc13327ee491c,55e5d5fdc70c7a000b2a5bac,APPROVED,Not Applicable,2024-08-07T23:22:23.721000Z,2024-08-07T23:27:27.580000Z,2024-08-09T13:21:01.696000Z,2024-08-07T23:27:28.282123Z,304.0,6B57058C,3726,44,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
